i,j,Longitude,Latitude,sealevel,upcount,e,q
3886,2940,129.5166667,-7.983333333,-68.469166,-58.52834814,108,100
3887,2940,129.55,-7.983333333,-72.88733059,-61.59131235,108,100
3888,2940,129.5833333,-7.983333333,-76.89349625,-64.39718836,108,100
3889,2940,129.6166667,-7.983333333,-79.8228627,-66.67931899,108,100
3890,2940,129.65,-7.983333333,-81.43730303,-68.40415286,108,100
3891,2940,129.6833333,-7.983333333,-82.49792956,-69.87152781,108,100
3892,2940,129.7166667,-7.983333333,-84.01396541,-71.53227466,108,100
3893,2940,129.75,-7.983333333,-86.40874721,-73.77767351,108,100
3894,2940,129.7833333,-7.983333333,-90.20300781,-76.92856315,108,100
3895,2940,129.8166667,-7.983333333,-96.06581771,-81.18696636,108,100
3896,2940,129.85,-7.983333333,-104.2646631,-86.47854768,108,100
3897,2940,129.8833333,-7.983333333,-114.0815256,-92.33294773,108,100
3898,2940,129.9166667,-7.983333333,-124.0578785,-97.86588783,108,100
3899,2940,129.95,-7.983333333,-132.0775065,-101.7726648,108,100
3900,2940,129.9833333,-7.983333333,-134.6070156,-102.5517859,108,100
3901,2940,130.0166667,-7.983333333,-129.2532305,-99.36897694,108,100
3902,2940,130.05,-7.983333333,-117.7080175,-92.74955937,888,-888
3903,2940,130.0833333,-7.983333333,-103.5762039,-84.09610178,121,100
3904,2940,130.1166667,-7.983333333,-89.33367201,-74.76202675,121,100
3905,2940,130.15,-7.983333333,-76.19629991,-65.65660787,121,100
3906,2940,130.1833333,-7.983333333,-64.64207309,-57.26431276,121,100
3907,2940,130.2166667,-7.983333333,-54.6023528,-49.77789942,121,100
3908,2940,130.25,-7.983333333,-46.03680921,-43.26830161,121,100
3909,2940,130.2833333,-7.983333333,-39.00756151,-37.78856163,121,100
3910,2940,130.3166667,-7.983333333,-33.51559518,-33.39175415,121,100
3911,2940,130.35,-7.983333333,-29.63034604,-30.10446982,121,100
3912,2940,130.3833333,-7.983333333,-27.19597523,-27.88141169,121,100
3913,2940,130.4166667,-7.983333333,-25.93134138,-26.61227348,121,100
3914,2940,130.45,-7.983333333,-25.71597303,-26.15616106,121,100
3915,2940,130.4833333,-7.983333333,-26.38473642,-26.33914288,121,100
3886,2939,129.5166667,-7.95,-65.83576601,-56.83495602,108,100
3887,2939,129.55,-7.95,-69.57285685,-59.56564958,108,100
3888,2939,129.5833333,-7.95,-72.83999729,-62.05717349,108,100
3889,2939,129.6166667,-7.95,-75.38794232,-64.18509698,108,100
3890,2939,129.65,-7.95,-77.20870523,-65.99440879,108,100
3891,2939,129.6833333,-7.95,-78.92844239,-67.72641027,108,100
3892,2939,129.7166667,-7.95,-81.16422159,-69.70058495,108,100
3893,2939,129.75,-7.95,-84.01139703,-72.22714876,108,100
3894,2939,129.7833333,-7.95,-88.25719269,-75.6659478,108,100
3895,2939,129.8166667,-7.95,-95.02915022,-80.31942149,108,100
3896,2939,129.85,-7.95,-104.5426933,-86.19921764,108,100
3897,2939,129.8833333,-7.95,-116.1527061,-92.94482514,108,100
3898,2939,129.9166667,-7.95,-129.2571065,-99.76677768,108,100
3899,2939,129.95,-7.95,-141.8853592,-105.166312,108,100
3900,2939,129.9833333,-7.95,-147.7207201,-107.0326445,108,100
3901,2939,130.0166667,-7.95,-141.6016098,-104.0463659,108,100
3902,2939,130.05,-7.95,-127.0578676,-96.92732957,888,-888
3903,2939,130.0833333,-7.95,-110.458259,-87.56759146,121,100
3904,2939,130.1166667,-7.95,-94.51177867,-77.55133491,121,100
3905,2939,130.15,-7.95,-80.01401182,-67.80217376,121,100
3906,2939,130.1833333,-7.95,-67.34985062,-58.79143311,121,100
3907,2939,130.2166667,-7.95,-56.39327218,-50.71106604,121,100
3908,2939,130.25,-7.95,-46.86922407,-43.6355224,121,100
3909,2939,130.2833333,-7.95,-38.8894166,-37.64566041,121,100
3910,2939,130.3166667,-7.95,-32.68680706,-32.84567049,121,100
3911,2939,130.35,-7.95,-28.35350759,-29.31815341,121,100
3912,2939,130.3833333,-7.95,-25.79717057,-27.06939393,121,100
3913,2939,130.4166667,-7.95,-24.84414693,-26.00145029,121,100
3914,2939,130.45,-7.95,-25.26079156,-25.91684842,121,100
3915,2939,130.4833333,-7.95,-26.65105086,-26.54724901,121,100
3886,2938,129.5166667,-7.916666667,-61.99968762,-54.07505449,108,100
3887,2938,129.55,-7.916666667,-65.23095338,-56.47783733,108,100
3888,2938,129.5833333,-7.916666667,-67.74932593,-58.64359524,108,100
3889,2938,129.6166667,-7.916666667,-69.81764957,-60.54510884,108,100
3890,2938,129.65,-7.916666667,-71.65191627,-62.27699591,108,100
3891,2938,129.6833333,-7.916666667,-73.62069784,-64.02550813,108,100
3892,2938,129.7166667,-7.916666667,-76.05437698,-66.01487019,108,100
3893,2938,129.75,-7.916666667,-78.88398793,-68.50254641,108,100
3894,2938,129.7833333,-7.916666667,-83.10655994,-71.86497847,108,100
3895,2938,129.8166667,-7.916666667,-89.99346143,-76.44522181,108,100
3896,2938,129.85,-7.916666667,-99.50613416,-82.3226718,108,100
3897,2938,129.8833333,-7.916666667,-111.5369178,-89.30769129,108,100
3898,2938,129.9166667,-7.916666667,-126.4571634,-96.78827125,108,100
3899,2938,129.95,-7.916666667,-142.5169425,-103.2003376,108,100
3900,2938,129.9833333,-7.916666667,-151.2449521,-106.0278528,108,100
3901,2938,130.0166667,-7.916666667,-145.023139,-103.5753744,108,100
3902,2938,130.05,-7.916666667,-128.9494235,-96.62354765,888,-888
3903,2938,130.0833333,-7.916666667,-111.4280162,-87.31041593,121,100
3904,2938,130.1166667,-7.916666667,-95.05672955,-77.30935633,121,100
3905,2938,130.15,-7.916666667,-80.33163124,-67.52603431,121,100
3906,2938,130.1833333,-7.916666667,-67.41561819,-58.40906772,121,100
3907,2938,130.2166667,-7.916666667,-56.1494102,-50.15236327,121,100
3908,2938,130.25,-7.916666667,-46.26822437,-42.84308672,121,100
3909,2938,130.2833333,-7.916666667,-37.7222966,-36.57870075,121,100
3910,2938,130.3166667,-7.916666667,-30.77436701,-31.51411424,121,100
3911,2938,130.35,-7.916666667,-25.84997133,-27.83318414,121,100
3912,2938,130.3833333,-7.916666667,-23.26401631,-25.65433041,121,100
3913,2938,130.4166667,-7.916666667,-22.95009899,-24.9134004,121,100
3914,2938,130.45,-7.916666667,-24.33143267,-25.33071606,121,100
3915,2938,130.4833333,-7.916666667,-26.66483545,-26.51568021,121,100
3886,2937,129.5166667,-7.883333333,-56.97153604,-50.52111123,108,100
3887,2937,129.55,-7.883333333,-59.79249795,-52.6031795,108,100
3888,2937,129.5833333,-7.883333333,-61.84949937,-54.45547128,108,100
3889,2937,129.6166667,-7.883333333,-63.55954427,-56.08637176,108,100
3890,2937,129.65,-7.883333333,-65.24167476,-57.5988071,108,100
3891,2937,129.6833333,-7.883333333,-67.02880735,-59.12358133,108,100
3892,2937,129.7166667,-7.883333333,-69.05817377,-60.82171756,108,100
3893,2937,129.75,-7.883333333,-71.40898713,-62.92398534,108,100
3894,2937,129.7833333,-7.883333333,-75.04509666,-65.77362802,108,100
3895,2937,129.8166667,-7.883333333,-80.87692288,-69.67853246,108,100
3896,2937,129.85,-7.883333333,-88.77482117,-74.78658739,108,100
3897,2937,129.8833333,-7.883333333,-99.3033151,-81.11258148,108,100
3898,2937,129.9166667,-7.883333333,-113.1638178,-88.24341683,108,100
3899,2937,129.95,-7.883333333,-128.420656,-94.73127973,108,100
3900,2937,129.9833333,-7.883333333,-137.4811005,-98.14788241,108,100
3901,2937,130.0166667,-7.883333333,-133.5830491,-96.76097067,108,100
3902,2937,130.05,-7.883333333,-120.5588229,-91.07965278,888,-888
3903,2937,130.0833333,-7.883333333,-105.3738223,-82.93513508,121,100
3904,2937,130.1166667,-7.883333333,-90.62034504,-73.86412058,121,100
3905,2937,130.15,-7.883333333,-77.02995471,-64.75579909,121,100
3906,2937,130.1833333,-7.883333333,-64.78222917,-56.07900699,121,100
3907,2937,130.2166667,-7.883333333,-53.80962511,-48.07174071,121,100
3908,2937,130.25,-7.883333333,-44.0314743,-40.87160372,121,100
3909,2937,130.2833333,-7.883333333,-35.37038269,-34.61074729,121,100
3910,2937,130.3166667,-7.883333333,-27.97108258,-29.48984961,121,100
3911,2937,130.35,-7.883333333,-22.50279316,-25.79889853,121,100
3912,2937,130.3833333,-7.883333333,-19.9336446,-23.80102432,121,100
3913,2937,130.4166667,-7.883333333,-20.49862399,-23.49145445,121,100
3914,2937,130.45,-7.883333333,-23.113387,-24.50408772,121,100
3915,2937,130.4833333,-7.883333333,-26.55648112,-26.31896251,121,100
3886,2936,129.5166667,-7.85,-51.53820736,-46.5154022,108,100
3887,2936,129.55,-7.85,-53.92929447,-48.27887051,108,100
3888,2936,129.5833333,-7.85,-55.69359177,-49.82401728,108,100
3889,2936,129.6166667,-7.85,-57.09683269,-51.1420969,108,100
3890,2936,129.65,-7.85,-58.42393659,-52.30676832,108,100
3891,2936,129.6833333,-7.85,-59.64103355,-53.39938833,108,100
3892,2936,129.7166667,-7.85,-60.75861647,-54.54263706,108,100
3893,2936,129.75,-7.85,-62.18763167,-55.94520106,108,100
3894,2936,129.7833333,-7.85,-64.57435495,-57.86582742,108,100
3895,2936,129.8166667,-7.85,-68.08440625,-60.52957449,108,100
3896,2936,129.85,-7.85,-72.92813736,-64.1694833,108,100
3897,2936,129.8833333,-7.85,-80.30742542,-69.03743841,108,100
3898,2936,129.9166667,-7.85,-90.99087109,-74.98881843,108,100
3899,2936,129.95,-7.85,-103.0864637,-80.87623352,108,100
3900,2936,129.9833333,-7.85,-111.3610243,-84.66600712,108,100
3901,2936,130.0166667,-7.85,-111.4187549,-84.76481027,108,100
3902,2936,130.05,-7.85,-104.3106186,-81.18324071,888,-888
3903,2936,130.0833333,-7.85,-93.7295918,-75.0775638,121,100
3904,2936,130.1166667,-7.85,-82.13505754,-67.66726298,121,100
3905,2936,130.15,-7.85,-70.66526557,-59.80341922,121,100
3906,2936,130.1833333,-7.85,-59.79100613,-52.01408299,121,100
3907,2936,130.2166667,-7.85,-49.6952717,-44.62299178,121,100
3908,2936,130.25,-7.85,-40.44730964,-37.84528001,121,100
3909,2936,130.2833333,-7.85,-32.10143338,-31.87543774,121,100
3910,2936,130.3166667,-7.85,-24.81525805,-26.96866159,121,100
3911,2936,130.35,-7.85,-19.24881383,-23.48921188,121,100
3912,2936,130.3833333,-7.85,-16.86353513,-21.80685687,121,100
3913,2936,130.4166667,-7.85,-18.27576658,-21.97422196,121,100
3914,2936,130.45,-7.85,-22.0323635,-23.58093145,121,100
3915,2936,130.4833333,-7.85,-26.57837835,-26.02984042,121,100
3886,2935,129.5166667,-7.816666667,-46.09677969,-42.39599533,108,100
3887,2935,129.55,-7.816666667,-48.13367919,-43.83814437,108,100
3888,2935,129.5833333,-7.816666667,-49.65082984,-45.05905368,108,100
3889,2935,129.6166667,-7.816666667,-50.69886271,-46.01036088,108,100
3890,2935,129.65,-7.816666667,-51.45060443,-46.72296356,108,100
3891,2935,129.6833333,-7.816666667,-51.81389381,-47.24211191,108,100
3892,2935,129.7166667,-7.816666667,-51.858223,-47.6636742,108,100
3893,2935,129.75,-7.816666667,-52.05733893,-48.15371159,108,100
3894,2935,129.7833333,-7.816666667,-52.55994603,-48.87026669,108,100
3895,2935,129.8166667,-7.816666667,-53.06421431,-49.96149221,108,100
3896,2935,129.85,-7.816666667,-53.97886353,-51.73444784,108,100
3897,2935,129.8833333,-7.816666667,-56.98553298,-54.70670608,108,100
3898,2935,129.9166667,-7.816666667,-64.00809962,-59.16028383,108,100
3899,2935,129.95,-7.816666667,-74.23053622,-64.37422689,108,100
3900,2935,129.9833333,-7.816666667,-83.1831801,-68.60742143,108,100
3901,2935,130.0166667,-7.816666667,-86.96850706,-70.26845456,108,100
3902,2935,130.05,-7.816666667,-85.11327605,-68.91106536,888,-888
3903,2935,130.0833333,-7.816666667,-79.26154105,-65.07333059,121,100
3904,2935,130.1166667,-7.816666667,-71.22761679,-59.60581992,121,100
3905,2935,130.15,-7.816666667,-62.21304904,-53.25909854,121,100
3906,2935,130.1833333,-7.816666667,-53.02488401,-46.60740734,121,100
3907,2935,130.2166667,-7.816666667,-44.20395317,-40.07268231,121,100
3908,2935,130.25,-7.816666667,-35.91170846,-33.95301282,121,100
3909,2935,130.2833333,-7.816666667,-28.30148102,-28.51815265,121,100
3910,2935,130.3166667,-7.816666667,-21.70807223,-24.09709084,121,100
3911,2935,130.35,-7.816666667,-16.8127315,-21.09118704,121,100
3912,2935,130.3833333,-7.816666667,-15.07589388,-19.87506718,121,100
3913,2935,130.4166667,-7.816666667,-17.0407695,-20.50659354,121,100
3914,2935,130.45,-7.816666667,-21.38334784,-22.606789,121,100
3915,2935,130.4833333,-7.816666667,-26.78439098,-25.60937001,121,100
3886,2934,129.5166667,-7.783333333,-41.17471441,-38.47813464,108,100
3887,2934,129.55,-7.783333333,-42.79934592,-39.57533546,108,100
3888,2934,129.5833333,-7.783333333,-43.97370481,-40.42723043,108,100
3889,2934,129.6166667,-7.783333333,-44.55491536,-40.95274105,108,100
3890,2934,129.65,-7.783333333,-44.66298346,-41.14865302,108,100
3891,2934,129.6833333,-7.783333333,-44.20018542,-41.03628615,108,100
3892,2934,129.7166667,-7.783333333,-43.17895362,-40.68140104,108,100
3893,2934,129.75,-7.783333333,-41.88787021,-40.19917879,108,100
3894,2934,129.7833333,-7.783333333,-40.29184033,-39.68553248,108,100
3895,2934,129.8166667,-7.783333333,-38.01378427,-39.24967026,108,100
3896,2934,129.85,-7.783333333,-35.11576478,-39.23116653,108,100
3897,2934,129.8833333,-7.783333333,-33.4229253,-40.37510523,108,100
3898,2934,129.9166667,-7.783333333,-37.09165304,-43.43833392,108,100
3899,2934,129.95,-7.783333333,-47.04597657,-48.12099089,108,100
3900,2934,129.9833333,-7.783333333,-57.77811195,-52.78691719,108,100
3901,2934,130.0166667,-7.783333333,-64.43837163,-55.72042215,108,100
3902,2934,130.05,-7.783333333,-66.27880954,-56.18105949,888,-888
3903,2934,130.0833333,-7.783333333,-64.1771775,-54.31061885,121,100
3904,2934,130.1166667,-7.783333333,-59.33947374,-50.64979855,121,100
3905,2934,130.15,-7.783333333,-52.68875135,-45.80297388,121,100
3906,2934,130.1833333,-7.783333333,-45.11731262,-40.33292194,121,100
3907,2934,130.2166667,-7.783333333,-37.63626158,-34.73058655,121,100
3908,2934,130.25,-7.783333333,-30.40960477,-29.37419915,121,100
3909,2934,130.2833333,-7.783333333,-23.55811134,-24.6211661,121,100
3910,2934,130.3166667,-7.783333333,-18.05200179,-20.88251149,121,100
3911,2934,130.35,-7.783333333,-14.68681727,-18.54651178,121,100
3912,2934,130.3833333,-7.783333333,-14.15038347,-17.89111286,121,100
3913,2934,130.4166667,-7.783333333,-16.46696172,-18.93687105,121,100
3914,2934,130.45,-7.783333333,-20.88981301,-21.39795228,121,100
3915,2934,130.4833333,-7.783333333,-26.75086049,-24.82017857,121,100
3886,2933,129.5166667,-7.75,-37.38602483,-35.00611552,108,100
3887,2933,129.55,-7.75,-38.35604803,-35.72438018,108,100
3888,2933,129.5833333,-7.75,-38.97276816,-36.15148601,108,100
3889,2933,129.6166667,-7.75,-38.95317159,-36.19758344,108,100
3890,2933,129.65,-7.75,-38.3328271,-35.84101099,108,100
3891,2933,129.6833333,-7.75,-37.05081867,-35.09539475,108,100
3892,2933,129.7166667,-7.75,-35.0529762,-34.00810124,108,100
3893,2933,129.75,-7.75,-32.47719043,-32.66735567,108,100
3894,2933,129.7833333,-7.75,-29.34270276,-31.16248288,108,100
3895,2933,129.8166667,-7.75,-25.30886218,-29.6112123,108,100
3896,2933,129.85,-7.75,-20.22224482,-28.37233098,108,100
3897,2933,129.8833333,-7.75,-15.99367105,-28.28667051,108,100
3898,2933,129.9166667,-7.75,-17.6323296,-30.32770574,108,100
3899,2933,129.95,-7.75,-26.81365519,-34.44245492,108,100
3900,2933,129.9833333,-7.75,-37.92583334,-39.14936888,108,100
3901,2933,130.0166667,-7.75,-45.88966454,-42.74875273,108,100
3902,2933,130.05,-7.75,-49.79133491,-44.36096083,888,-888
3903,2933,130.0833333,-7.75,-50.06535486,-43.88001878,121,100
3904,2933,130.1166667,-7.75,-47.55232152,-41.61977597,121,100
3905,2933,130.15,-7.75,-43.01028942,-38.04749679,121,100
3906,2933,130.1833333,-7.75,-37.06244163,-33.65315428,121,100
3907,2933,130.2166667,-7.75,-30.56202544,-28.92819085,121,100
3908,2933,130.25,-7.75,-24.05088612,-24.33696355,121,100
3909,2933,130.2833333,-7.75,-18.27937635,-20.33052169,121,100
3910,2933,130.3166667,-7.75,-14.33523787,-17.33423192,121,100
3911,2933,130.35,-7.75,-12.45625537,-15.66207858,121,100
3912,2933,130.3833333,-7.75,-12.71870389,-15.50185997,121,100
3913,2933,130.4166667,-7.75,-15.1727466,-16.87493158,121,100
3914,2933,130.45,-7.75,-19.58317737,-19.5960331,121,100
3915,2933,130.4833333,-7.75,-25.60800422,-23.30940615,121,100
3886,2932,129.5166667,-7.716666667,-34.65790177,-32.06216745,108,100
3887,2932,129.55,-7.716666667,-34.92689151,-32.40278136,108,100
3888,2932,129.5833333,-7.716666667,-34.86751745,-32.37889902,108,100
3889,2932,129.6166667,-7.716666667,-34.13881633,-31.91708448,108,100
3890,2932,129.65,-7.716666667,-32.6976473,-31.00232685,108,100
3891,2932,129.6833333,-7.716666667,-30.58829427,-29.66208982,108,100
3892,2932,129.7166667,-7.716666667,-27.79573478,-27.94827687,108,100
3893,2932,129.75,-7.716666667,-24.40054265,-25.95861839,108,100
3894,2932,129.7833333,-7.716666667,-20.51087924,-23.82326668,108,100
3895,2932,129.8166667,-7.716666667,-16.00247408,-21.71589612,108,100
3896,2932,129.85,-7.716666667,-11.01609733,-20.01764224,108,100
3897,2932,129.8833333,-7.716666667,-7.377710797,-19.48762734,108,100
3898,2932,129.9166667,-7.716666667,-8.567171947,-20.93646438,108,100
3899,2932,129.95,-7.716666667,-15.54491263,-24.34147484,108,100
3900,2932,129.9833333,-7.716666667,-24.64541712,-28.54992664,108,100
3901,2932,130.0166667,-7.716666667,-32.08128064,-32.13688771,108,100
3902,2932,130.05,-7.716666667,-36.55306185,-34.21278022,888,-888
3903,2932,130.0833333,-7.716666667,-37.8855123,-34.49016903,121,100
3904,2932,130.1166667,-7.716666667,-36.54935153,-33.10437124,121,100
3905,2932,130.15,-7.716666667,-33.44816616,-30.43313524,121,100
3906,2932,130.1833333,-7.716666667,-28.8402734,-26.903763,121,100
3907,2932,130.2166667,-7.716666667,-23.16518271,-22.96088005,121,100
3908,2932,130.25,-7.716666667,-17.76288596,-19.1008306,121,100
3909,2932,130.2833333,-7.716666667,-13.53026258,-15.79017592,121,100
3910,2932,130.3166667,-7.716666667,-10.69777721,-13.39690256,121,100
3911,2932,130.35,-7.716666667,-9.332363371,-12.1925101,121,100
3912,2932,130.3833333,-7.716666667,-9.737138997,-12.3674989,121,100
3913,2932,130.4166667,-7.716666667,-12.22230969,-13.9844213,121,100
3914,2932,130.45,-7.716666667,-16.6913254,-16.91650812,121,100
3915,2932,130.4833333,-7.716666667,-22.75943495,-20.84850119,121,100
3886,2931,129.5166667,-7.683333333,-32.64740531,-29.60726737,108,100
3887,2931,129.55,-7.683333333,-32.40229038,-29.62047398,108,100
3888,2931,129.5833333,-7.683333333,-31.68257066,-29.16446403,108,100
3889,2931,129.6166667,-7.683333333,-30.19343797,-28.20255925,108,100
3890,2931,129.65,-7.683333333,-28.03637734,-26.75898182,108,100
3891,2931,129.6833333,-7.683333333,-25.33580223,-24.89013914,108,100
3892,2931,129.7166667,-7.683333333,-21.91895096,-22.6625007,108,100
3893,2931,129.75,-7.683333333,-17.93490722,-20.21510465,108,100
3894,2931,129.7833333,-7.683333333,-13.75022309,-17.75497432,108,100
3895,2931,129.8166667,-7.683333333,-9.55108175,-15.52798788,108,100
3896,2931,129.85,-7.683333333,-5.773073298,-13.90482,108,100
3897,2931,129.8833333,-7.683333333,-3.737597426,-13.43949823,108,100
3898,2931,129.9166667,-7.683333333,-5.043650358,-14.60831046,108,100
3899,2931,129.95,-7.683333333,-9.865681398,-17.31892959,108,100
3900,2931,129.9833333,-7.683333333,-16.4306109,-20.77538416,108,100
3901,2931,130.0166667,-7.683333333,-22.45963508,-23.92705929,108,100
3902,2931,130.05,-7.683333333,-26.56651365,-25.97255045,888,-888
3903,2931,130.0833333,-7.683333333,-28.10373619,-26.51045991,121,100
3904,2931,130.1166667,-7.683333333,-26.85461103,-25.52442002,121,100
3905,2931,130.15,-7.683333333,-23.84159631,-23.34509275,121,100
3906,2931,130.1833333,-7.683333333,-20.16811898,-20.41686231,121,100
3907,2931,130.2166667,-7.683333333,-15.97491476,-17.11340353,121,100
3908,2931,130.25,-7.683333333,-11.84797904,-13.82514214,121,100
3909,2931,130.2833333,-7.683333333,-8.355596443,-10.96713974,121,100
